Order_ID;Order_Date;Cust_Type;Region;Product;Category;Item;Brand;Qty;Sales;Cost;Profit
NZ-ORD-44;13/02/2023;Returning;Auckland;Product-5;Books;Romance;Warner Bros;8;1639;1348.61;290.39
NZ-ORD-45;14/02/2023;New;Wellington;Product-5;Books;Romance;Lionsgate;2;1256.06;830.68;425.38
NZ-ORD-46;15/02/2023;New;Wellington;Product-29;Toys;Puzzle;Gramedia;9;353.65;412.55;-58.9
NZ-ORD-47;16/02/2023;Returning;Wellington;Product-3;Clothing;Shirt;New Balance;6;1534.52;1429.16;105.36
NZ-ORD-48;17/02/2023;Returning;Hamilton;Product-26;Toys;Card Game;Dungeons;9;1970.79;1824.25;146.54
NZ-ORD-49;18/02/2023;New;Hamilton;Product-26;Clothing;T-Shirt;Puma;2;136.91;-122.16;259.07
NZ-ORD-50;19/02/2023;New;Auckland;Product-25;Books;Documentary;National Geographic;8;1762.82;1362.06;400.76
NZ-ORD-51;20/02/2023;New;Wellington;Product-9;Clothing;Jacket;Nike;9;83.6;-175.32;258.92
NZ-ORD-52;21/02/2023;Returning;Hamilton;Product-28;Home Decor;Curtain;IKEA;6;890.18;453.46;436.72
NZ-ORD-53;22/02/2023;New;Christchurch;Product-16;Home Decor;Vase;IKEA;3;1243.11;1039.72;203.39
NZ-ORD-54;23/02/2023;New;Christchurch;Product-25;Toys;Robot;Capcom;4;1358.1;1401.24;-43.14
NZ-ORD-55;24/02/2023;New;Dunedin;Product-16;Home Decor;Vinyl Paper;Kenko;7;869.48;701.87;167.61
NZ-ORD-56;25/02/2023;Returning;Auckland;Product-23;Books;Comedy;20th Century Fox;5;315.06;-114.96;430.02
NZ-ORD-57;26/02/2023;Returning;Wellington;Product-5;Clothing;Shirt;Puma;4;406.7;341.89;64.81
NZ-ORD-58;27/02/2023;Returning;Auckland;Product-24;Electronics;DVD Player;Changhong;7;1770.33;1354.82;415.51
NZ-ORD-59;28/02/2023;New;Hamilton;Product-13;Toys;Board Game;Marvel;7;534.81;218.07;316.74
NZ-ORD-60;01/03/2023;New;Dunedin;Product-28;Home Decor;Curtain;Kels;10;877.85;758.04;119.81
NZ-ORD-61;02/03/2023;Returning;Christchurch;Product-27;Electronics;DVD Player;Panasonic;1;699.85;593.01;106.84
NZ-ORD-62;03/03/2023;Returning;Wellington;Product-6;Electronics;Mobile Phone;Apple;8;1770.53;1703.63;66.9
NZ-ORD-63;04/03/2023;New;Wellington;Product-20;Electronics;CCTV;Toshiba;7;609.31;151.15;458.16
NZ-ORD-64;05/03/2023;Returning;Hamilton;Product-10;Home Decor;Vinyl Paper;Level Up;2;818.65;383.68;434.97
NZ-ORD-65;06/03/2023;Returning;Hamilton;Product-29;Electronics;CCTV;Huawei;1;422.96;37.57;385.39
NZ-ORD-66;07/03/2023;New;Hamilton;Product-1;Electronics;Mobile Phone;Huawei;6;1845.43;1887.19;-41.76
NZ-ORD-67;08/03/2023;New;Dunedin;Product-22;Toys;Board Game;Hasbro;7;655.62;653.93;1.69
NZ-ORD-68;09/03/2023;New;Wellington;Product-14;Clothing;T-Shirt;Converse;4;930.88;496.33;434.55
NZ-ORD-69;10/03/2023;New;Christchurch;Product-21;Home Decor;Curtain;IKEA;5;1026.31;646.65;379.66
NZ-ORD-70;11/03/2023;Returning;Dunedin;Product-25;Toys;Doll;Yin Mang;3;537.87;175.04;362.83
NZ-ORD-71;12/03/2023;New;Hamilton;Product-11;Clothing;T-Shirt;Puma;3;1983.15;1541.76;441.39
NZ-ORD-72;13/03/2023;New;Dunedin;Product-3;Books;Comedy;Warner Bros;7;1480.3;1231.09;249.21
NZ-ORD-73;14/03/2023;New;Christchurch;Product-24;Books;Romance;Warner Bros;7;664.41;336.99;327.42
NZ-ORD-74;15/03/2023;Returning;Dunedin;Product-15;Books;Comedy;Warner Bros;4;848.55;425.1;423.45
NZ-ORD-75;16/03/2023;New;Christchurch;Product-3;Clothing;Jacket;Puma;1;624.22;527.41;96.81
NZ-ORD-76;17/03/2023;New;Wellington;Product-19;Clothing;Shoe;Adidas;5;65;63.71;1.29
NZ-ORD-77;18/03/2023;New;Dunedin;Product-20;Clothing;Jacket;Converse;1;943.62;467.7;475.92
NZ-ORD-78;19/03/2023;Returning;Dunedin;Product-26;Toys;Board Game;Century;7;1565.39;1487.15;78.24
NZ-ORD-79;20/03/2023;Returning;Hamilton;Product-2;Home Decor;Vinyl Paper;Joyko;7;1738.05;1472.19;265.86
NZ-ORD-80;21/03/2023;New;Auckland;Product-24;Books;Cartoon;Pixar;2;499.18;427.01;72.17
NZ-ORD-81;22/03/2023;Returning;Wellington;Product-23;Electronics;Hardisk SDD;Sandisk;2;486.64;295.47;191.17
NZ-ORD-82;23/03/2023;Returning;Christchurch;Product-1;Toys;Robot;Namco;8;1598.85;1371.68;227.17
NZ-ORD-83;24/03/2023;New;Auckland;Product-25;Toys;Card Game;Marvel;6;1911.07;1413.57;497.5
NZ-ORD-84;25/03/2023;Returning;Christchurch;Product-28;Books;Romance;20th Century Fox;8;1481.26;1299.35;181.91
NZ-ORD-85;26/03/2023;New;Wellington;Product-8;Clothing;Pant;New Balance;8;583.23;612.6;-29.37
NZ-ORD-86;27/03/2023;Returning;Dunedin;Product-1;Electronics;CCTV;Huawei;9;84.07;-15.13;99.2
NZ-ORD-87;28/03/2023;New;Wellington;Product-28;Clothing;Shirt;Converse;7;1368.66;1335.33;33.33
NZ-ORD-88;29/03/2023;New;Dunedin;Product-22;Electronics;Hardisk SDD;Seagate;6;216.85;-250.8;467.65
NZ-ORD-89;30/03/2023;New;Hamilton;Product-18;Home Decor;Window Blind;Kels;10;1826.54;1870.78;-44.24
NZ-ORD-90;31/03/2023;New;Hamilton;Product-16;Electronics;Hardisk SDD;Samsung;1;421.92;476.92;-55
NZ-ORD-91;01/04/2023;New;Christchurch;Product-22;Toys;Doll;Lego;8;1951.56;1977.88;-26.32
NZ-ORD-92;02/04/2023;Returning;Hamilton;Product-25;Books;Documentary;Universal;7;1605.88;1661.79;-55.91
NZ-ORD-93;03/04/2023;New;Christchurch;Product-25;Toys;Robot;Konami;8;1198.69;1092.31;106.38
NZ-ORD-94;04/04/2023;Returning;Christchurch;Product-3;Clothing;Shirt;Nike;2;1914.79;1700.11;214.68
NZ-ORD-95;05/04/2023;New;Hamilton;Product-5;Toys;Board Game;Century;9;519.96;139.67;380.29
NZ-ORD-96;06/04/2023;New;Christchurch;Product-27;Clothing;Shirt;Adidas;4;1986.9;1630.44;356.46
NZ-ORD-97;07/04/2023;New;Christchurch;Product-14;Toys;Card Game;Telltale;8;1689.72;1247.06;442.66
NZ-ORD-98;08/04/2023;New;Christchurch;Product-23;Books;Romance;Universal;3;1579.83;1446.17;133.66
NZ-ORD-99;09/04/2023;Returning;Auckland;Product-21;Electronics;CCTV;Sony;10;891.91;740.78;151.13
NZ-ORD-100;10/04/2023;New;Auckland;Product-3;Clothing;Shirt;New Balance;8;1076.32;1125.36;-49.04
NZ-ORD-101;11/04/2023;Returning;Christchurch;Product-4;Electronics;DVD Player;Changhong;8;420.02;205.5;214.52
NZ-ORD-102;12/04/2023;New;Hamilton;Product-9;Clothing;Pant;Converse;9;1424.52;1520.33;-95.81
NZ-ORD-103;13/04/2023;Returning;Dunedin;Product-18;Electronics;TV;Sony;3;268.79;180.48;88.31
NZ-ORD-104;14/04/2023;New;Wellington;Product-8;Home Decor;Curtain;Brother;4;1635.78;1643.74;-7.96
NZ-ORD-105;15/04/2023;New;Auckland;Product-20;Home Decor;Window Blind;Rails;2;1627.58;1498.72;128.86
NZ-ORD-106;16/04/2023;Returning;Wellington;Product-20;Clothing;Jacket;New Balance;8;1271.38;1071.06;200.32
NZ-ORD-107;17/04/2023;New;Wellington;Product-14;Books;Cartoon;Disney;8;1290.59;1344.3;-53.71
NZ-ORD-108;18/04/2023;New;Dunedin;Product-8;Home Decor;Vase;Zhongwei;1;555.6;489.48;66.12
NZ-ORD-109;19/04/2023;Returning;Christchurch;Product-13;Clothing;Pant;Nike;6;294.76;49.44;245.32
NZ-ORD-110;20/04/2023;Returning;Wellington;Product-13;Toys;Puzzle;Gramedia;2;1997.72;1549.91;447.81
NZ-ORD-111;21/04/2023;New;Hamilton;Product-11;Home Decor;Window Blind;Bardy;1;1847.68;1818.9;28.78
NZ-ORD-112;22/04/2023;Returning;Wellington;Product-5;Toys;Card Game;Marvel;10;1840.79;1685.41;155.38
NZ-ORD-113;23/04/2023;New;Dunedin;Product-17;Electronics;Hardisk SDD;Samsung;6;61.13;-329.81;390.94
NZ-ORD-114;24/04/2023;Returning;Wellington;Product-17;Toys;Puzzle;Gramedia;3;1652.55;1158.49;494.06
NZ-ORD-115;25/04/2023;Returning;Hamilton;Product-18;Clothing;Shirt;Nike;2;1453.01;1052.14;400.87
NZ-ORD-116;26/04/2023;New;Auckland;Product-2;Books;Documentary;Discovery;2;471.3;560.04;-88.74
NZ-ORD-117;27/04/2023;Returning;Wellington;Product-16;Toys;Puzzle;Marvel;2;911.36;903.96;7.4
NZ-ORD-118;28/04/2023;Returning;Christchurch;Product-18;Home Decor;Window Blind;IKEA;8;1541.18;1281.8;259.38
NZ-ORD-119;29/04/2023;Returning;Wellington;Product-11;Toys;Card Game;Telltale;3;378.4;6.44;371.96
NZ-ORD-120;30/04/2023;Returning;Hamilton;Product-8;Books;Cartoon;Nickelodeon;10;1898.21;1976.72;-78.51
NZ-ORD-121;01/05/2023;Returning;Dunedin;Product-17;Home Decor;Vinyl Paper;Joyko;4;1354.96;1329.94;25.02
NZ-ORD-122;02/05/2023;Returning;Dunedin;Product-24;Home Decor;Vinyl Paper;Kenko;4;1917.61;1896.86;20.75
NZ-ORD-123;03/05/2023;Returning;Auckland;Product-2;Toys;Puzzle;Marvel;3;510.84;421.1;89.74
NZ-ORD-124;04/05/2023;New;Wellington;Product-2;Toys;Doll;Hasbro;10;886.32;923.73;-37.41
NZ-ORD-125;05/05/2023;Returning;Dunedin;Product-23;Electronics;TV;Xiaomi;3;1685.93;1718.64;-32.71
NZ-ORD-126;06/05/2023;Returning;Christchurch;Product-24;Home Decor;Curtain;IKEA;10;461.78;452.85;8.93
NZ-ORD-127;07/05/2023;Returning;Wellington;Product-24;Clothing;Jacket;Converse;6;1333.6;1222.38;111.22
NZ-ORD-128;08/05/2023;Returning;Dunedin;Product-23;Electronics;CCTV;Xiaomi;3;960.73;512.55;448.18
NZ-ORD-129;09/05/2023;New;Dunedin;Product-2;Home Decor;Window Blind;Brother;5;763.01;691.76;71.25
NZ-ORD-130;10/05/2023;Returning;Hamilton;Product-27;Clothing;Pant;Puma;6;554.83;259.72;295.11
NZ-ORD-131;11/05/2023;New;Dunedin;Product-5;Home Decor;Vinyl Paper;Kenko;10;1381.58;980.69;400.89
NZ-ORD-132;12/05/2023;New;Wellington;Product-28;Books;Romance;Warner Bros;6;575.7;609.84;-34.14
NZ-ORD-133;13/05/2023;New;Christchurch;Product-4;Toys;Board Game;Century;8;193.01;204.29;-11.28
NZ-ORD-134;14/05/2023;New;Dunedin;Product-6;Clothing;Shoe;New Balance;5;998.41;717.52;280.89
NZ-ORD-135;15/05/2023;Returning;Hamilton;Product-13;Toys;Card Game;Dungeons;7;1144.64;721.5;423.14
NZ-ORD-136;16/05/2023;New;Dunedin;Product-17;Clothing;Pant;New Balance;1;1712.5;1531.88;180.62
NZ-ORD-137;17/05/2023;New;Christchurch;Product-11;Toys;Card Game;Telltale;10;141.13;78.87;62.26
NZ-ORD-138;18/05/2023;Returning;Christchurch;Product-16;Home Decor;Vinyl Paper;Level Up;8;92.33;136.79;-44.46
NZ-ORD-139;19/05/2023;Returning;Dunedin;Product-26;Electronics;Hardisk SDD;Samsung;3;1485.48;1264.34;221.14
NZ-ORD-140;20/05/2023;New;Christchurch;Product-18;Clothing;Shirt;Puma;7;986.12;962.82;23.3
NZ-ORD-141;21/05/2023;New;Dunedin;Product-19;Clothing;Shirt;New Balance;5;1405.55;1439.92;-34.37
NZ-ORD-142;22/05/2023;Returning;Christchurch;Product-11;Home Decor;Vinyl Paper;Level Up;1;1180.65;1223.6;-42.95
NZ-ORD-143;23/05/2023;New;Dunedin;Product-16;Clothing;Jacket;Nike;2;1230.42;1253.47;-23.05
NZ-ORD-144;24/05/2023;Returning;Hamilton;Product-13;Home Decor;Window Blind;Rails;6;1956.43;1990.08;-33.65
NZ-ORD-145;25/05/2023;New;Wellington;Product-28;Clothing;Shoe;Puma;10;625.25;660.46;-35.21
NZ-ORD-146;26/05/2023;New;Christchurch;Product-10;Electronics;Mobile Phone;Huawei;3;1778.05;1316.37;461.68
NZ-ORD-147;27/05/2023;Returning;Wellington;Product-6;Books;Cartoon;Disney;3;1775.15;1647.4;127.75
NZ-ORD-148;28/05/2023;Returning;Hamilton;Product-14;Toys;Robot;Sega;2;1747.41;1606.11;141.3
NZ-ORD-149;29/05/2023;Returning;Dunedin;Product-7;Toys;Doll;Marvel;10;60.22;-357.31;417.53
NZ-ORD-150;30/05/2023;New;Hamilton;Product-4;Toys;Puzzle;Wonder World;9;624.89;373.1;251.79
NZ-ORD-151;31/05/2023;New;Dunedin;Product-7;Books;Romance;Universal;1;1242.21;1015.15;227.06
NZ-ORD-152;01/06/2023;New;Christchurch;Product-5;Books;Comedy;Lionsgate;2;865.07;538.49;326.58
NZ-ORD-153;02/06/2023;Returning;Hamilton;Product-9;Clothing;Shirt;New Balance;5;121.28;-330.25;451.53
NZ-ORD-154;03/06/2023;New;Hamilton;Product-24;Clothing;Pant;Adidas;8;1863.17;1629.7;233.47
NZ-ORD-155;04/06/2023;Returning;Dunedin;Product-10;Books;Cartoon;Nickelodeon;4;1907.11;1483.48;423.63
NZ-ORD-156;05/06/2023;Returning;Dunedin;Product-16;Clothing;Shirt;New Balance;2;1090.78;1043.16;47.62
NZ-ORD-157;06/06/2023;New;Auckland;Product-27;Books;Documentary;National Geographic;4;1947.98;1623.96;324.02
NZ-ORD-158;07/06/2023;New;Christchurch;Product-7;Books;Romance;Universal;10;1159.58;947.94;211.64
NZ-ORD-159;08/06/2023;Returning;Dunedin;Product-27;Electronics;Mobile Phone;Vivo;2;1788.49;1663.42;125.07
NZ-ORD-160;09/06/2023;New;Dunedin;Product-17;Toys;Doll;Yin Mang;9;606.08;359.66;246.42
NZ-ORD-161;10/06/2023;Returning;Wellington;Product-19;Toys;Doll;Marvel;8;63.87;-213.45;277.32
NZ-ORD-162;11/06/2023;Returning;Christchurch;Product-19;Electronics;TV;Panasonic;1;77.76;27.04;50.72
NZ-ORD-163;12/06/2023;Returning;Auckland;Product-25;Books;Comedy;Lionsgate;9;733.74;348.57;385.17
NZ-ORD-164;13/06/2023;Returning;Wellington;Product-3;Home Decor;Miniature Statue;Baurdani;10;293.2;21.19;272.01
NZ-ORD-165;14/06/2023;New;Christchurch;Product-10;Electronics;Hardisk SDD;Seagate;2;765.58;646.31;119.27
NZ-ORD-166;15/06/2023;New;Christchurch;Product-25;Clothing;Jacket;New Balance;3;873.33;871.94;1.39
NZ-ORD-167;16/06/2023;New;Dunedin;Product-12;Toys;Board Game;Exploding;9;91.79;3.56;88.23
NZ-ORD-168;17/06/2023;New;Auckland;Product-29;Home Decor;Window Blind;Rails;7;1063.81;759.78;304.03
NZ-ORD-169;18/06/2023;Returning;Hamilton;Product-14;Books;Documentary;Warner Bros;7;1652.28;1416.46;235.82
NZ-ORD-170;19/06/2023;Returning;Auckland;Product-12;Home Decor;Vinyl Paper;Seiko;1;695.55;554.8;140.75
NZ-ORD-171;20/06/2023;Returning;Christchurch;Product-9;Toys;Robot;Namco;9;634.38;281.43;352.95
NZ-ORD-172;21/06/2023;New;Dunedin;Product-8;Electronics;Mobile Phone;Apple;8;515.52;193.44;322.08
NZ-ORD-173;22/06/2023;New;Auckland;Product-18;Home Decor;Vase;Yuzhei Wong;10;1076.78;787.21;289.57
NZ-ORD-174;23/06/2023;New;Hamilton;Product-28;Home Decor;Curtain;Brother;9;1838.54;1797.91;40.63
NZ-ORD-175;24/06/2023;New;Dunedin;Product-13;Electronics;Mobile Phone;Apple;5;403.79;-43.47;447.26
NZ-ORD-176;25/06/2023;New;Christchurch;Product-17;Home Decor;Vase;Foshan;2;940.13;783.44;156.69
NZ-ORD-177;26/06/2023;New;Dunedin;Product-8;Home Decor;Curtain;IKEA;4;429.28;333.17;96.11
NZ-ORD-178;27/06/2023;Returning;Dunedin;Product-7;Electronics;DVD Player;Changhong;1;1505.11;1438.88;66.23
NZ-ORD-179;28/06/2023;Returning;Christchurch;Product-21;Books;Comedy;Universal;7;197.12;3.2;193.92
NZ-ORD-180;29/06/2023;Returning;Dunedin;Product-18;Toys;Robot;Bandai;3;1165.81;904.31;261.5
NZ-ORD-181;30/06/2023;New;Wellington;Product-18;Electronics;DVD Player;Changhong;10;33.39;47.83;-14.44
NZ-ORD-182;01/07/2023;New;Dunedin;Product-25;Books;Documentary;Discovery;7;1471.36;1339.44;131.92
NZ-ORD-183;02/07/2023;Returning;Dunedin;Product-20;Electronics;TV;Panasonic;1;1184.01;1235.37;-51.36
NZ-ORD-184;03/07/2023;New;Dunedin;Product-5;Clothing;Shoe;Puma;2;1226.21;1286.47;-60.26
NZ-ORD-185;04/07/2023;New;Auckland;Product-28;Books;Horror;Universal;1;821.21;542.15;279.06
NZ-ORD-186;05/07/2023;Returning;Dunedin;Product-3;Toys;Board Game;Exploding;4;1742.95;1464.54;278.41
NZ-ORD-187;06/07/2023;Returning;Hamilton;Product-19;Clothing;Pant;New Balance;10;372.96;360.67;12.29
NZ-ORD-188;07/07/2023;New;Auckland;Product-28;Books;Comedy;Disney;8;1069.84;820.26;249.58
NZ-ORD-189;08/07/2023;New;Wellington;Product-9;Home Decor;Vinyl Paper;Joyko;5;278.03;274.15;3.88
NZ-ORD-190;09/07/2023;Returning;Auckland;Product-7;Clothing;T-Shirt;Puma;1;93.49;161.17;-67.68
NZ-ORD-191;10/07/2023;New;Hamilton;Product-21;Books;Horror;Universal;2;162.07;-244.78;406.85
NZ-ORD-192;11/07/2023;Returning;Dunedin;Product-18;Clothing;Shirt;Puma;8;119.06;-110.18;229.24
NZ-ORD-193;12/07/2023;Returning;Wellington;Product-20;Home Decor;Curtain;Bardy;10;1713.19;1382.88;330.31
NZ-ORD-194;13/07/2023;New;Christchurch;Product-4;Home Decor;Miniature Statue;Baurdani;5;1584.09;1652.36;-68.27
NZ-ORD-195;14/07/2023;Returning;Hamilton;Product-16;Electronics;TV;Xiaomi;9;837.58;746.07;91.51
NZ-ORD-196;15/07/2023;Returning;Hamilton;Product-27;Toys;Card Game;Marvel;4;634.42;322.12;312.3
NZ-ORD-197;16/07/2023;Returning;Auckland;Product-20;Books;Comedy;Warner Bros;9;155.11;-51.44;206.55
NZ-ORD-198;17/07/2023;New;Wellington;Product-28;Toys;Board Game;Hasbro;10;1843.22;1443.36;399.86
NZ-ORD-199;18/07/2023;New;Christchurch;Product-9;Home Decor;Vinyl Paper;Seven;5;860.77;656.94;203.83
NZ-ORD-200;19/07/2023;Returning;Christchurch;Product-6;Toys;Puzzle;Marvel;10;1816.19;1592.28;223.91
NZ-ORD-201;20/07/2023;New;Dunedin;Product-11;Books;Romance;Disney;4;782.11;436.78;345.33
NZ-ORD-202;21/07/2023;New;Dunedin;Product-17;Electronics;CCTV;Xiaomi;9;1301.83;1260.8;41.03
NZ-ORD-203;22/07/2023;New;Dunedin;Product-15;Home Decor;Curtain;Kels;3;1912.1;1671.47;240.63
NZ-ORD-204;23/07/2023;Returning;Auckland;Product-1;Books;Documentary;20th Century Fox;1;999.42;1055.9;-56.48
NZ-ORD-205;24/07/2023;New;Wellington;Product-14;Toys;Puzzle;Telltale;9;1773.65;1738.12;35.53
NZ-ORD-206;25/07/2023;New;Christchurch;Product-25;Books;Horror;Lionsgate;9;1253.04;962.5;290.54
NZ-ORD-207;26/07/2023;New;Auckland;Product-18;Toys;Puzzle;Marvel;9;1926.68;1707.14;219.54
NZ-ORD-208;27/07/2023;Returning;Hamilton;Product-9;Home Decor;Vase;Zhongwei;3;392.13;92.4;299.73
NZ-ORD-209;28/07/2023;Returning;Auckland;Product-13;Clothing;Jacket;Converse;10;507.18;499.65;7.53
NZ-ORD-210;29/07/2023;Returning;Hamilton;Product-25;Home Decor;Miniature Statue;Bucchari;7;1445.47;1315.66;129.81
NZ-ORD-211;30/07/2023;New;Hamilton;Product-1;Clothing;Jacket;Converse;1;215.94;126.05;89.89
NZ-ORD-212;31/07/2023;New;Hamilton;Product-23;Toys;Board Game;Exploding;9;1914.12;1447.31;466.81
NZ-ORD-213;01/08/2023;New;Christchurch;Product-29;Clothing;Shirt;Converse;7;853.52;925.17;-71.65
NZ-ORD-214;02/08/2023;New;Auckland;Product-14;Toys;Card Game;Hasbro;9;197.65;-186.2;383.85
NZ-ORD-215;03/08/2023;Returning;Christchurch;Product-20;Books;Horror;Bloom House;1;1416.08;1238.96;177.12
NZ-ORD-216;04/08/2023;New;Dunedin;Product-4;Toys;Board Game;Century;6;1021.08;1079.39;-58.31
NZ-ORD-217;05/08/2023;New;Dunedin;Product-22;Electronics;DVD Player;Panasonic;7;92.63;-332.55;425.18
NZ-ORD-218;06/08/2023;Returning;Christchurch;Product-4;Clothing;Shoe;Converse;2;187.11;-262.14;449.25
NZ-ORD-219;07/08/2023;Returning;Dunedin;Product-15;Clothing;Jacket;Adidas;6;1985.21;1631.83;353.38
NZ-ORD-220;08/08/2023;New;Christchurch;Product-6;Electronics;TV;Toshiba;2;1860.09;1645.58;214.51
NZ-ORD-221;09/08/2023;Returning;Wellington;Product-1;Electronics;CCTV;Xiaomi;4;764.85;338.49;426.36
NZ-ORD-222;10/08/2023;Returning;Wellington;Product-28;Home Decor;Miniature Statue;Holmes Brok;4;499.24;54.16;445.08
NZ-ORD-223;11/08/2023;Returning;Auckland;Product-19;Home Decor;Window Blind;Kels;2;377.06;406.82;-29.76
NZ-ORD-224;12/08/2023;Returning;Auckland;Product-23;Home Decor;Miniature Statue;Bucchari;4;490.59;72.84;417.75
NZ-ORD-225;13/08/2023;New;Christchurch;Product-10;Toys;Doll;Marvel;1;1068.55;805.98;262.57
NZ-ORD-226;14/08/2023;Returning;Dunedin;Product-3;Electronics;Hardisk SDD;Seagate;9;851.96;729.5;122.46
NZ-ORD-227;15/08/2023;Returning;Dunedin;Product-3;Toys;Card Game;Century;3;1353.64;1329.74;23.9
