Order_ID,Order_Date,Region,Product,Category,Item,Brand,Qty,Sales,Cost,Profit
NZ-ORD-28,2023-01-28,Christchurch,Product-21,Home Decor,Miniature Statue,Bucchari,2,1954.62,1998.76,-44.14
NZ-ORD-29,2023-01-29,Wellington,Product-29,Home Decor,Vase,IKEA,4,1558.92,1288.76,270.16
NZ-ORD-30,2023-01-30,Hamilton,Product-22,Electronics,Mobile Phone,Vivo,6,1164.95,1168.19,-3.24
NZ-ORD-31,2023-01-31,Auckland,Product-7,Toys,Doll,Hasbro,10,1496.33,1099.56,396.77
NZ-ORD-32,2023-02-01,Christchurch,Product-27,Clothing,Shirt,Converse,7,339.2,136.62,202.58
NZ-ORD-33,2023-02-02,Dunedin,Product-29,Clothing,Shoe,Adidas,4,202.99,251.09,-48.1
NZ-ORD-34,2023-02-03,Hamilton,Product-9,Home Decor,Vase,Foshan,2,826.14,692.59,133.55
NZ-ORD-35,2023-02-04,Auckland,Product-2,Electronics,Mobile Phone,Oppo,10,793.24,625.47,167.77
NZ-ORD-36,2023-02-05,Christchurch,Product-22,Home Decor,Window Blind,Kels,6,481.32,105.32,376
NZ-ORD-37,2023-02-06,Hamilton,Product-26,Home Decor,Vinyl Paper,Kenko,9,1222.2,1072.76,149.44
NZ-ORD-38,2023-02-07,Dunedin,Product-28,Clothing,Jacket,Nike,1,1432.87,1490.16,-57.29
NZ-ORD-39,2023-02-08,Auckland,Product-29,Electronics,Mobile Phone,Apple,3,1958.79,1959.7,-0.91
NZ-ORD-40,2023-02-09,Auckland,Product-15,Books,Documentary,National Geographic,4,576.75,167.72,409.03
NZ-ORD-41,2023-02-10,Dunedin,Product-20,Electronics,TV,Samsung,10,1357.52,1146.86,210.66
NZ-ORD-42,2023-02-11,Dunedin,Product-4,Toys,Puzzle,Marvel,10,531.25,200.69,330.56
NZ-ORD-43,2023-02-12,Auckland,Product-14,Toys,Puzzle,Hasbro,5,1097.27,764.5,332.77
NZ-ORD-44,2023-02-13,Auckland,Product-5,Books,Romance,Warner Bros,8,1639,1348.61,290.39
NZ-ORD-45,2023-02-14,Wellington,Product-5,Books,Romance,Lionsgate,2,1256.06,830.68,425.38
NZ-ORD-46,2023-02-15,Wellington,Product-29,Toys,Puzzle,Gramedia,9,353.65,412.55,-58.9
NZ-ORD-47,2023-02-16,Wellington,Product-3,Clothing,Shirt,New Balance,6,1534.52,1429.16,105.36
NZ-ORD-48,2023-02-17,Hamilton,Product-26,Toys,Card Game,Dungeons,9,1970.79,1824.25,146.54
NZ-ORD-49,2023-02-18,Hamilton,Product-26,Clothing,T-Shirt,Puma,2,136.91,-122.16,259.07
NZ-ORD-50,2023-02-19,Auckland,Product-25,Books,Documentary,National Geographic,8,1762.82,1362.06,400.76
NZ-ORD-51,2023-02-20,Wellington,Product-9,Clothing,Jacket,Nike,9,83.6,-175.32,258.92
NZ-ORD-52,2023-02-21,Hamilton,Product-28,Home Decor,Curtain,IKEA,6,890.18,453.46,436.72
NZ-ORD-53,2023-02-22,Christchurch,Product-16,Home Decor,Vase,IKEA,3,1243.11,1039.72,203.39
NZ-ORD-54,2023-02-23,Christchurch,Product-25,Toys,Robot,Capcom,4,1358.1,1401.24,-43.14
NZ-ORD-55,2023-02-24,Dunedin,Product-16,Home Decor,Vinyl Paper,Kenko,7,869.48,701.87,167.61
NZ-ORD-56,2023-02-25,Auckland,Product-23,Books,Comedy,20th Century Fox,5,315.06,-114.96,430.02
NZ-ORD-57,2023-02-26,Wellington,Product-5,Clothing,Shirt,Puma,4,406.7,341.89,64.81
NZ-ORD-58,2023-02-27,Auckland,Product-24,Electronics,DVD Player,Changhong,7,1770.33,1354.82,415.51
NZ-ORD-59,2023-02-28,Hamilton,Product-13,Toys,Board Game,Marvel,7,534.81,218.07,316.74
NZ-ORD-60,2023-03-01,Dunedin,Product-28,Home Decor,Curtain,Kels,10,877.85,758.04,119.81
NZ-ORD-61,2023-03-02,Christchurch,Product-27,Electronics,DVD Player,Panasonic,1,699.85,593.01,106.84
NZ-ORD-62,2023-03-03,Wellington,Product-6,Electronics,Mobile Phone,Apple,8,1770.53,1703.63,66.9
NZ-ORD-63,2023-03-04,Wellington,Product-20,Electronics,CCTV,Toshiba,7,609.31,151.15,458.16
NZ-ORD-64,2023-03-05,Hamilton,Product-10,Home Decor,Vinyl Paper,Level Up,2,818.65,383.68,434.97
NZ-ORD-65,2023-03-06,Hamilton,Product-29,Electronics,CCTV,Huawei,1,422.96,37.57,385.39
NZ-ORD-66,2023-03-07,Hamilton,Product-1,Electronics,Mobile Phone,Huawei,6,1845.43,1887.19,-41.76
NZ-ORD-67,2023-03-08,Dunedin,Product-22,Toys,Board Game,Hasbro,7,655.62,653.93,1.69
NZ-ORD-68,2023-03-09,Wellington,Product-14,Clothing,T-Shirt,Converse,4,930.88,496.33,434.55
NZ-ORD-69,2023-03-10,Christchurch,Product-21,Home Decor,Curtain,IKEA,5,1026.31,646.65,379.66
NZ-ORD-70,2023-03-11,Dunedin,Product-25,Toys,Doll,Yin Mang,3,537.87,175.04,362.83
NZ-ORD-71,2023-03-12,Hamilton,Product-11,Clothing,T-Shirt,Puma,3,1983.15,1541.76,441.39
NZ-ORD-72,2023-03-13,Dunedin,Product-3,Books,Comedy,Warner Bros,7,1480.3,1231.09,249.21
NZ-ORD-73,2023-03-14,Christchurch,Product-24,Books,Romance,Warner Bros,7,664.41,336.99,327.42
NZ-ORD-74,2023-03-15,Dunedin,Product-15,Books,Comedy,Warner Bros,4,848.55,425.1,423.45
NZ-ORD-75,2023-03-16,Christchurch,Product-3,Clothing,Jacket,Puma,1,624.22,527.41,96.81
NZ-ORD-76,2023-03-17,Wellington,Product-19,Clothing,Shoe,Adidas,5,65,63.71,1.29
NZ-ORD-77,2023-03-18,Dunedin,Product-20,Clothing,Jacket,Converse,1,943.62,467.7,475.92
NZ-ORD-78,2023-03-19,Dunedin,Product-26,Toys,Board Game,Century,7,1565.39,1487.15,78.24
NZ-ORD-79,2023-03-20,Hamilton,Product-2,Home Decor,Vinyl Paper,Joyko,7,1738.05,1472.19,265.86
NZ-ORD-80,2023-03-21,Auckland,Product-24,Books,Cartoon,Pixar,2,499.18,427.01,72.17
NZ-ORD-81,2023-03-22,Wellington,Product-23,Electronics,Hardisk SDD,Sandisk,2,486.64,295.47,191.17
NZ-ORD-82,2023-03-23,Christchurch,Product-1,Toys,Robot,Namco,8,1598.85,1371.68,227.17
NZ-ORD-83,2023-03-24,Auckland,Product-25,Toys,Card Game,Marvel,6,1911.07,1413.57,497.5
NZ-ORD-84,2023-03-25,Christchurch,Product-28,Books,Romance,20th Century Fox,8,1481.26,1299.35,181.91
NZ-ORD-85,2023-03-26,Wellington,Product-8,Clothing,Pant,New Balance,8,583.23,612.6,-29.37
NZ-ORD-86,2023-03-27,Dunedin,Product-1,Electronics,CCTV,Huawei,9,84.07,-15.13,99.2
NZ-ORD-87,2023-03-28,Wellington,Product-28,Clothing,Shirt,Converse,7,1368.66,1335.33,33.33
NZ-ORD-88,2023-03-29,Dunedin,Product-22,Electronics,Hardisk SDD,Seagate,6,216.85,-250.8,467.65
NZ-ORD-89,2023-03-30,Hamilton,Product-18,Home Decor,Window Blind,Kels,10,1826.54,1870.78,-44.24
NZ-ORD-90,2023-03-31,Hamilton,Product-16,Electronics,Hardisk SDD,Samsung,1,421.92,476.92,-55
NZ-ORD-91,2023-04-01,Christchurch,Product-22,Toys,Doll,Lego,8,1951.56,1977.88,-26.32
NZ-ORD-92,2023-04-02,Hamilton,Product-25,Books,Documentary,Universal,7,1605.88,1661.79,-55.91
NZ-ORD-93,2023-04-03,Christchurch,Product-25,Toys,Robot,Konami,8,1198.69,1092.31,106.38
NZ-ORD-94,2023-04-04,Christchurch,Product-3,Clothing,Shirt,Nike,2,1914.79,1700.11,214.68
NZ-ORD-95,2023-04-05,Hamilton,Product-5,Toys,Board Game,Century,9,519.96,139.67,380.29
NZ-ORD-96,2023-04-06,Christchurch,Product-27,Clothing,Shirt,Adidas,4,1986.9,1630.44,356.46
NZ-ORD-97,2023-04-07,Christchurch,Product-14,Toys,Card Game,Telltale,8,1689.72,1247.06,442.66
NZ-ORD-98,2023-04-08,Christchurch,Product-23,Books,Romance,Universal,3,1579.83,1446.17,133.66
NZ-ORD-99,2023-04-09,Auckland,Product-21,Electronics,CCTV,Sony,10,891.91,740.78,151.13
NZ-ORD-100,2023-04-10,Auckland,Product-3,Clothing,Shirt,New Balance,8,1076.32,1125.36,-49.04
NZ-ORD-101,2023-04-11,Christchurch,Product-4,Electronics,DVD Player,Changhong,8,420.02,205.5,214.52
NZ-ORD-102,2023-04-12,Hamilton,Product-9,Clothing,Pant,Converse,9,1424.52,1520.33,-95.81
NZ-ORD-103,2023-04-13,Dunedin,Product-18,Electronics,TV,Sony,3,268.79,180.48,88.31
NZ-ORD-104,2023-04-14,Wellington,Product-8,Home Decor,Curtain,Brother,4,1635.78,1643.74,-7.96
NZ-ORD-105,2023-04-15,Auckland,Product-20,Home Decor,Window Blind,Rails,2,1627.58,1498.72,128.86
NZ-ORD-106,2023-04-16,Wellington,Product-20,Clothing,Jacket,New Balance,8,1271.38,1071.06,200.32
NZ-ORD-107,2023-04-17,Wellington,Product-14,Books,Cartoon,Disney,8,1290.59,1344.3,-53.71
NZ-ORD-108,2023-04-18,Dunedin,Product-8,Home Decor,Vase,Zhongwei,1,555.6,489.48,66.12
NZ-ORD-109,2023-04-19,Christchurch,Product-13,Clothing,Pant,Nike,6,294.76,49.44,245.32
NZ-ORD-110,2023-04-20,Wellington,Product-13,Toys,Puzzle,Gramedia,2,1997.72,1549.91,447.81
NZ-ORD-111,2023-04-21,Hamilton,Product-11,Home Decor,Window Blind,Bardy,1,1847.68,1818.9,28.78
NZ-ORD-112,2023-04-22,Wellington,Product-5,Toys,Card Game,Marvel,10,1840.79,1685.41,155.38
NZ-ORD-113,2023-04-23,Dunedin,Product-17,Electronics,Hardisk SDD,Samsung,6,61.13,-329.81,390.94
NZ-ORD-114,2023-04-24,Wellington,Product-17,Toys,Puzzle,Gramedia,3,1652.55,1158.49,494.06
NZ-ORD-115,2023-04-25,Hamilton,Product-18,Clothing,Shirt,Nike,2,1453.01,1052.14,400.87
NZ-ORD-116,2023-04-26,Auckland,Product-2,Books,Documentary,Discovery,2,471.3,560.04,-88.74
NZ-ORD-117,2023-04-27,Wellington,Product-16,Toys,Puzzle,Marvel,2,911.36,903.96,7.4
NZ-ORD-118,2023-04-28,Christchurch,Product-18,Home Decor,Window Blind,IKEA,8,1541.18,1281.8,259.38
NZ-ORD-119,2023-04-29,Wellington,Product-11,Toys,Card Game,Telltale,3,378.4,6.44,371.96
NZ-ORD-120,2023-04-30,Hamilton,Product-8,Books,Cartoon,Nickelodeon,10,1898.21,1976.72,-78.51
NZ-ORD-121,2023-05-01,Dunedin,Product-17,Home Decor,Vinyl Paper,Joyko,4,1354.96,1329.94,25.02
NZ-ORD-122,2023-05-02,Dunedin,Product-24,Home Decor,Vinyl Paper,Kenko,4,1917.61,1896.86,20.75
NZ-ORD-123,2023-05-03,Auckland,Product-2,Toys,Puzzle,Marvel,3,510.84,421.1,89.74
NZ-ORD-124,2023-05-04,Wellington,Product-2,Toys,Doll,Hasbro,10,886.32,923.73,-37.41
NZ-ORD-125,2023-05-05,Dunedin,Product-23,Electronics,TV,Xiaomi,3,1685.93,1718.64,-32.71
NZ-ORD-126,2023-05-06,Christchurch,Product-24,Home Decor,Curtain,IKEA,10,461.78,452.85,8.93
NZ-ORD-127,2023-05-07,Wellington,Product-24,Clothing,Jacket,Converse,6,1333.6,1222.38,111.22
NZ-ORD-128,2023-05-08,Dunedin,Product-23,Electronics,CCTV,Xiaomi,3,960.73,512.55,448.18
NZ-ORD-129,2023-05-09,Dunedin,Product-2,Home Decor,Window Blind,Brother,5,763.01,691.76,71.25
NZ-ORD-130,2023-05-10,Hamilton,Product-27,Clothing,Pant,Puma,6,554.83,259.72,295.11
NZ-ORD-131,2023-05-11,Dunedin,Product-5,Home Decor,Vinyl Paper,Kenko,10,1381.58,980.69,400.89
NZ-ORD-132,2023-05-12,Wellington,Product-28,Books,Romance,Warner Bros,6,575.7,609.84,-34.14
NZ-ORD-133,2023-05-13,Christchurch,Product-4,Toys,Board Game,Century,8,193.01,204.29,-11.28
NZ-ORD-134,2023-05-14,Dunedin,Product-6,Clothing,Shoe,New Balance,5,998.41,717.52,280.89
NZ-ORD-135,2023-05-15,Hamilton,Product-13,Toys,Card Game,Dungeons,7,1144.64,721.5,423.14
NZ-ORD-136,2023-05-16,Dunedin,Product-17,Clothing,Pant,New Balance,1,1712.5,1531.88,180.62
NZ-ORD-137,2023-05-17,Christchurch,Product-11,Toys,Card Game,Telltale,10,141.13,78.87,62.26
NZ-ORD-138,2023-05-18,Christchurch,Product-16,Home Decor,Vinyl Paper,Level Up,8,92.33,136.79,-44.46
NZ-ORD-139,2023-05-19,Dunedin,Product-26,Electronics,Hardisk SDD,Samsung,3,1485.48,1264.34,221.14
NZ-ORD-140,2023-05-20,Christchurch,Product-18,Clothing,Shirt,Puma,7,986.12,962.82,23.3
NZ-ORD-141,2023-05-21,Dunedin,Product-19,Clothing,Shirt,New Balance,5,1405.55,1439.92,-34.37
NZ-ORD-142,2023-05-22,Christchurch,Product-11,Home Decor,Vinyl Paper,Level Up,1,1180.65,1223.6,-42.95
NZ-ORD-143,2023-05-23,Dunedin,Product-16,Clothing,Jacket,Nike,2,1230.42,1253.47,-23.05
NZ-ORD-144,2023-05-24,Hamilton,Product-13,Home Decor,Window Blind,Rails,6,1956.43,1990.08,-33.65
NZ-ORD-145,2023-05-25,Wellington,Product-28,Clothing,Shoe,Puma,10,625.25,660.46,-35.21
NZ-ORD-146,2023-05-26,Christchurch,Product-10,Electronics,Mobile Phone,Huawei,3,1778.05,1316.37,461.68
NZ-ORD-147,2023-05-27,Wellington,Product-6,Books,Cartoon,Disney,3,1775.15,1647.4,127.75
NZ-ORD-148,2023-05-28,Hamilton,Product-14,Toys,Robot,Sega,2,1747.41,1606.11,141.3
NZ-ORD-149,2023-05-29,Dunedin,Product-7,Toys,Doll,Marvel,10,60.22,-357.31,417.53
NZ-ORD-150,2023-05-30,Hamilton,Product-4,Toys,Puzzle,Wonder World,9,624.89,373.1,251.79
NZ-ORD-151,2023-05-31,Dunedin,Product-7,Books,Romance,Universal,1,1242.21,1015.15,227.06
NZ-ORD-152,2023-06-01,Christchurch,Product-5,Books,Comedy,Lionsgate,2,865.07,538.49,326.58
NZ-ORD-153,2023-06-02,Hamilton,Product-9,Clothing,Shirt,New Balance,5,121.28,-330.25,451.53
NZ-ORD-154,2023-06-03,Hamilton,Product-24,Clothing,Pant,Adidas,8,1863.17,1629.7,233.47
NZ-ORD-155,2023-06-04,Dunedin,Product-10,Books,Cartoon,Nickelodeon,4,1907.11,1483.48,423.63
NZ-ORD-156,2023-06-05,Dunedin,Product-16,Clothing,Shirt,New Balance,2,1090.78,1043.16,47.62
NZ-ORD-157,2023-06-06,Auckland,Product-27,Books,Documentary,National Geographic,4,1947.98,1623.96,324.02
NZ-ORD-158,2023-06-07,Christchurch,Product-7,Books,Romance,Universal,10,1159.58,947.94,211.64
NZ-ORD-159,2023-06-08,Dunedin,Product-27,Electronics,Mobile Phone,Vivo,2,1788.49,1663.42,125.07
NZ-ORD-160,2023-06-09,Dunedin,Product-17,Toys,Doll,Yin Mang,9,606.08,359.66,246.42
NZ-ORD-161,2023-06-10,Wellington,Product-19,Toys,Doll,Marvel,8,63.87,-213.45,277.32
NZ-ORD-162,2023-06-11,Christchurch,Product-19,Electronics,TV,Panasonic,1,77.76,27.04,50.72
NZ-ORD-163,2023-06-12,Auckland,Product-25,Books,Comedy,Lionsgate,9,733.74,348.57,385.17
NZ-ORD-164,2023-06-13,Wellington,Product-3,Home Decor,Miniature Statue,Baurdani,10,293.2,21.19,272.01
NZ-ORD-165,2023-06-14,Christchurch,Product-10,Electronics,Hardisk SDD,Seagate,2,765.58,646.31,119.27
NZ-ORD-166,2023-06-15,Christchurch,Product-25,Clothing,Jacket,New Balance,3,873.33,871.94,1.39
NZ-ORD-167,2023-06-16,Dunedin,Product-12,Toys,Board Game,Exploding,9,91.79,3.56,88.23
NZ-ORD-168,2023-06-17,Auckland,Product-29,Home Decor,Window Blind,Rails,7,1063.81,759.78,304.03
NZ-ORD-169,2023-06-18,Hamilton,Product-14,Books,Documentary,Warner Bros,7,1652.28,1416.46,235.82
NZ-ORD-170,2023-06-19,Auckland,Product-12,Home Decor,Vinyl Paper,Seiko,1,695.55,554.8,140.75
NZ-ORD-171,2023-06-20,Christchurch,Product-9,Toys,Robot,Namco,9,634.38,281.43,352.95
NZ-ORD-172,2023-06-21,Dunedin,Product-8,Electronics,Mobile Phone,Apple,8,515.52,193.44,322.08
NZ-ORD-173,2023-06-22,Auckland,Product-18,Home Decor,Vase,Yuzhei Wong,10,1076.78,787.21,289.57
NZ-ORD-174,2023-06-23,Hamilton,Product-28,Home Decor,Curtain,Brother,9,1838.54,1797.91,40.63
NZ-ORD-175,2023-06-24,Dunedin,Product-13,Electronics,Mobile Phone,Apple,5,403.79,-43.47,447.26
NZ-ORD-176,2023-06-25,Christchurch,Product-17,Home Decor,Vase,Foshan,2,940.13,783.44,156.69
NZ-ORD-177,2023-06-26,Dunedin,Product-8,Home Decor,Curtain,IKEA,4,429.28,333.17,96.11
NZ-ORD-178,2023-06-27,Dunedin,Product-7,Electronics,DVD Player,Changhong,1,1505.11,1438.88,66.23
NZ-ORD-179,2023-06-28,Christchurch,Product-21,Books,Comedy,Universal,7,197.12,3.2,193.92
NZ-ORD-180,2023-06-29,Dunedin,Product-18,Toys,Robot,Bandai,3,1165.81,904.31,261.5
NZ-ORD-181,2023-06-30,Wellington,Product-18,Electronics,DVD Player,Changhong,10,33.39,47.83,-14.44
NZ-ORD-182,2023-07-01,Dunedin,Product-25,Books,Documentary,Discovery,7,1471.36,1339.44,131.92
NZ-ORD-183,2023-07-02,Dunedin,Product-20,Electronics,TV,Panasonic,1,1184.01,1235.37,-51.36
NZ-ORD-184,2023-07-03,Dunedin,Product-5,Clothing,Shoe,Puma,2,1226.21,1286.47,-60.26
NZ-ORD-185,2023-07-04,Auckland,Product-28,Books,Horror,Universal,1,821.21,542.15,279.06
NZ-ORD-186,2023-07-05,Dunedin,Product-3,Toys,Board Game,Exploding,4,1742.95,1464.54,278.41
NZ-ORD-187,2023-07-06,Hamilton,Product-19,Clothing,Pant,New Balance,10,372.96,360.67,12.29
NZ-ORD-188,2023-07-07,Auckland,Product-28,Books,Comedy,Disney,8,1069.84,820.26,249.58
NZ-ORD-189,2023-07-08,Wellington,Product-9,Home Decor,Vinyl Paper,Joyko,5,278.03,274.15,3.88
NZ-ORD-190,2023-07-09,Auckland,Product-7,Clothing,T-Shirt,Puma,1,93.49,161.17,-67.68
NZ-ORD-191,2023-07-10,Hamilton,Product-21,Books,Horror,Universal,2,162.07,-244.78,406.85
NZ-ORD-192,2023-07-11,Dunedin,Product-18,Clothing,Shirt,Puma,8,119.06,-110.18,229.24
NZ-ORD-193,2023-07-12,Wellington,Product-20,Home Decor,Curtain,Bardy,10,1713.19,1382.88,330.31
NZ-ORD-194,2023-07-13,Christchurch,Product-4,Home Decor,Miniature Statue,Baurdani,5,1584.09,1652.36,-68.27
NZ-ORD-195,2023-07-14,Hamilton,Product-16,Electronics,TV,Xiaomi,9,837.58,746.07,91.51
NZ-ORD-196,2023-07-15,Hamilton,Product-27,Toys,Card Game,Marvel,4,634.42,322.12,312.3
NZ-ORD-197,2023-07-16,Auckland,Product-20,Books,Comedy,Warner Bros,9,155.11,-51.44,206.55
NZ-ORD-198,2023-07-17,Wellington,Product-28,Toys,Board Game,Hasbro,10,1843.22,1443.36,399.86
NZ-ORD-199,2023-07-18,Christchurch,Product-9,Home Decor,Vinyl Paper,Seven,5,860.77,656.94,203.83
NZ-ORD-200,2023-07-19,Christchurch,Product-6,Toys,Puzzle,Marvel,10,1816.19,1592.28,223.91
NZ-ORD-201,2023-07-20,Dunedin,Product-11,Books,Romance,Disney,4,782.11,436.78,345.33
NZ-ORD-202,2023-07-21,Dunedin,Product-17,Electronics,CCTV,Xiaomi,9,1301.83,1260.8,41.03
NZ-ORD-203,2023-07-22,Dunedin,Product-15,Home Decor,Curtain,Kels,3,1912.1,1671.47,240.63
NZ-ORD-204,2023-07-23,Auckland,Product-1,Books,Documentary,20th Century Fox,1,999.42,1055.9,-56.48
NZ-ORD-205,2023-07-24,Wellington,Product-14,Toys,Puzzle,Telltale,9,1773.65,1738.12,35.53
NZ-ORD-206,2023-07-25,Christchurch,Product-25,Books,Horror,Lionsgate,9,1253.04,962.5,290.54
NZ-ORD-207,2023-07-26,Auckland,Product-18,Toys,Puzzle,Marvel,9,1926.68,1707.14,219.54
NZ-ORD-208,2023-07-27,Hamilton,Product-9,Home Decor,Vase,Zhongwei,3,392.13,92.4,299.73
NZ-ORD-209,2023-07-28,Auckland,Product-13,Clothing,Jacket,Converse,10,507.18,499.65,7.53
NZ-ORD-210,2023-07-29,Hamilton,Product-25,Home Decor,Miniature Statue,Bucchari,7,1445.47,1315.66,129.81
NZ-ORD-211,2023-07-30,Hamilton,Product-1,Clothing,Jacket,Converse,1,215.94,126.05,89.89
NZ-ORD-212,2023-07-31,Hamilton,Product-23,Toys,Board Game,Exploding,9,1914.12,1447.31,466.81
NZ-ORD-213,2023-08-01,Christchurch,Product-29,Clothing,Shirt,Converse,7,853.52,925.17,-71.65
NZ-ORD-214,2023-08-02,Auckland,Product-14,Toys,Card Game,Hasbro,9,197.65,-186.2,383.85
NZ-ORD-215,2023-08-03,Christchurch,Product-20,Books,Horror,Bloom House,1,1416.08,1238.96,177.12
NZ-ORD-216,2023-08-04,Dunedin,Product-4,Toys,Board Game,Century,6,1021.08,1079.39,-58.31
NZ-ORD-217,2023-08-05,Dunedin,Product-22,Electronics,DVD Player,Panasonic,7,92.63,-332.55,425.18
NZ-ORD-218,2023-08-06,Christchurch,Product-4,Clothing,Shoe,Converse,2,187.11,-262.14,449.25
NZ-ORD-219,2023-08-07,Dunedin,Product-15,Clothing,Jacket,Adidas,6,1985.21,1631.83,353.38
NZ-ORD-220,2023-08-08,Christchurch,Product-6,Electronics,TV,Toshiba,2,1860.09,1645.58,214.51
NZ-ORD-221,2023-08-09,Wellington,Product-1,Electronics,CCTV,Xiaomi,4,764.85,338.49,426.36
NZ-ORD-222,2023-08-10,Wellington,Product-28,Home Decor,Miniature Statue,Holmes Brok,4,499.24,54.16,445.08
NZ-ORD-223,2023-08-11,Auckland,Product-19,Home Decor,Window Blind,Kels,2,377.06,406.82,-29.76
NZ-ORD-224,2023-08-12,Auckland,Product-23,Home Decor,Miniature Statue,Bucchari,4,490.59,72.84,417.75
NZ-ORD-225,2023-08-13,Christchurch,Product-10,Toys,Doll,Marvel,1,1068.55,805.98,262.57
NZ-ORD-226,2023-08-14,Dunedin,Product-3,Electronics,Hardisk SDD,Seagate,9,851.96,729.5,122.46
NZ-ORD-227,2023-08-15,Dunedin,Product-3,Toys,Card Game,Century,3,1353.64,1329.74,23.9
NZ-ORD-228,2023-08-16,Auckland,Product-30,Clothing,T-Shirt,Nike,3,1342.05,1061.71,280.34
NZ-ORD-229,2023-08-17,Wellington,Product-14,Books,Cartoon,Nickelodeon,3,708.22,740.74,-32.52
NZ-ORD-230,2023-08-18,Dunedin,Product-23,Home Decor,Vase,Foshan,10,1590.52,1371.17,219.35
NZ-ORD-231,2023-08-19,Dunedin,Product-18,Home Decor,Window Blind,IKEA,2,123.13,-149.39,272.52
NZ-ORD-232,2023-08-20,Wellington,Product-5,Home Decor,Curtain,Kels,1,182.17,-8.12,190.29
NZ-ORD-233,2023-08-21,Christchurch,Product-19,Toys,Doll,Marvel,1,801.3,351.06,450.24
NZ-ORD-234,2023-08-22,Hamilton,Product-20,Home Decor,Curtain,Brother,3,1522.91,1602.88,-79.97
NZ-ORD-235,2023-08-23,Christchurch,Product-12,Toys,Doll,Yin Mang,7,1240.05,1322.98,-82.93
NZ-ORD-236,2023-08-24,Dunedin,Product-2,Clothing,Shoe,New Balance,2,1028.46,686.56,341.9
NZ-ORD-237,2023-08-25,Wellington,Product-10,Books,Horror,Bloom House,3,1884.09,1424.4,459.69
NZ-ORD-238,2023-08-26,Christchurch,Product-1,Clothing,Shirt,Converse,6,428.02,442.5,-14.48
NZ-ORD-239,2023-08-27,Wellington,Product-13,Books,Comedy,Lionsgate,9,344.42,257.49,86.93
